circ_id,Metastatic_Tumor_1,Metastatic_Tumor_2,Metastatic_Tumor_3,Metastatic_Tumor_4,Metastatic_Tumor_5,Metastatic_Tumor_6,Metastatic_Tumor_7,Primary_Tumor_1,Primary_Tumor_10,Primary_Tumor_11,Primary_Tumor_12,Primary_Tumor_13,Primary_Tumor_2,Primary_Tumor_3,Primary_Tumor_4,Primary_Tumor_5,Primary_Tumor_6,Primary_Tumor_7,Primary_Tumor_8,Primary_Tumor_9
chr10:100348064|100352496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
chr10:110124017|110130486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0
chr10:110881233|110881535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0
chr10:110964125|110965061,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0
chr10:119904278|119904473,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chr10:122427032|122428236,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0
chr10:122579578|122620291,0,0,0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chr10:122590665|122618340,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chr10:122600991|122603129,0,0,0,72.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chr10:122600991|122615306,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chr10:124681607|124696212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0
chr10:20817600|20819516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
chr10:21882282|21920963,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0
chr10:24501379|24513434,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
chr10:24545104|24545278,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0
chr10:37149777|37185541,0,0,0,0,0,0,0,0,0,1.0,0,0,0,5.0,4.0,0,0,0,0,0
chr10:37153572|37188019,2.0,4.0,2.0,2.0,0,0,0,18.0,0,29.0,0,2.0,0,12.0,15.0,0,7.0,0,19.0,5.0
chr10:37153572|37199788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,5.0
chr10:37162776|37197309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0
chr10:37165094|37185712,0,0,0,0,0,0,0,3.0,0,0,0,0,0,3.0,1.0,0,0,0,0,0
chr10:37165094|37197480,0,0,2.0,6.0,0,0,0,2.0,0,11.0,0,0,0,3.0,1.0,0,0,0,0,1.0
chr10:37166605|37188019,0,2.0,0,11.0,0,0,0,0,0,13.0,0,0,0,16.0,30.0,0,12.0,0,9.0,1.0
chr10:37185513|37193258,0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,0,0,0
chr10:37185640|37197309,0,0,0,0,0,0,0,0,0,0,0,1.0,0,10.0,0,0,0,0,0,0
chr10:37187958|37197480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,0,0,0,0,0
chr10:5757674|5758847,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
chr10:67966683|68014186,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0
chr10:68754828|68755343,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
chr10:68771206|68773099,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,2.0,0,0,0,0,0
chr10:69185987|69195265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
chr10:69483691|69498396,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chr10:7276892|7285954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0
chr10:73794640|73795517,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chr10:77636637|77636893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0
chr10:863743|864270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0
chr10:86470992|86473973,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
chr10:92514920|92537550,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
chr10:93307028|93310019,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0
chr10:96132586|96156047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0
chr10:96559659|96565426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0
chr11:108227595|108235834,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
chr11:111357193|111357444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0
chr11:117395192|117395457,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0
chr11:118257000|118257237,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chr11:120446403|120475507,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chr11:120474560|120477526,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
chr11:12138390|12162419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
chr11:123058403|123058766,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chr11:123058440|123058766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0
chr11:123058446|123058766,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
chr11:128484823|128490576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0
chr11:130122390|130126821,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
chr11:130260856|130261929,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0
chr11:18245928|18248602,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0
chr11:3093992|3094236,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
chr11:33286413|33287511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0
chr11:36081653|36098461,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
chr11:36227085|36227430,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1.0,0,0,0
chr11:3731391|3753408,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
